Compound,Date,Negative,Neutral,Positive,Target,Tweet,Tweets Ago
0.6114,Fri Mar 23 13:33:04 +0000 2018,0.8,0.0,0.2,BBC,Spring is here! 🌱🌸🥦 Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,30
0.4939,Fri Mar 23 13:03:02 +0000 2018,0.741,0.0,0.259,BBC,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",31
0.0,Fri Mar 23 11:42:55 +0000 2018,1.0,0.0,0.0,BBC,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,32
-0.2006,Fri Mar 23 11:42:51 +0000 2018,0.754,0.139,0.107,BBC,RT @BBCRadio2: 👻 “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,33
0.0,Fri Mar 23 11:42:48 +0000 2018,1.0,0.0,0.0,BBC,RT @BBCTwo: Our entire weekend plans. 😴👇 #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,34
0.3612,Fri Mar 23 11:42:43 +0000 2018,0.872,0.0,0.128,BBC,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",35
0.2648,Fri Mar 23 11:30:05 +0000 2018,0.897,0.0,0.103,BBC,☕️🍰Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,36
-0.6016,Fri Mar 23 10:33:01 +0000 2018,0.813,0.187,0.0,BBC,"Friday night is CELEBRITY FIGHT NIGHT! 🥊🥊

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",37
0.8555,Fri Mar 23 10:03:03 +0000 2018,0.657,0.0,0.343,BBC,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. 😊 🎉… https://t.co/KrNoB0qaqC",38
0.765,Fri Mar 23 09:30:03 +0000 2018,0.583,0.0,0.417,BBC,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",39
0.0,Fri Mar 23 08:33:01 +0000 2018,1.0,0.0,0.0,BBC,"Meet the first polar bear cub to be born in the UK in 25 years. 😍
https://t.co/njq1r6eONE",40
0.0,Fri Mar 23 19:07:00 +0000 2018,1.0,0.0,0.0,BBC,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",41
-0.296,Fri Mar 23 18:03:04 +0000 2018,0.864,0.136,0.0,BBC,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. 🎤🤐 https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,42
0.0,Fri Mar 23 17:33:03 +0000 2018,1.0,0.0,0.0,BBC,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ️⚽️✨🚴🎉… https://t.co/tgbpC76heP",43
0.0,Fri Mar 23 17:02:01 +0000 2018,1.0,0.0,0.0,BBC,"Your week, as told by @louistheroux. 📆😂
https://t.co/Ae6bDBpIBW",44
0.0,Fri Mar 23 16:27:45 +0000 2018,1.0,0.0,0.0,BBC,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",45
0.7783,Fri Mar 23 16:00:12 +0000 2018,0.714,0.0,0.286,BBC,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",46
-0.4479,Fri Mar 23 14:33:40 +0000 2018,0.828,0.172,0.0,BBC,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs 🎤

@sportrelie…",47
0.5994,Fri Mar 23 14:03:08 +0000 2018,0.813,0.0,0.187,BBC,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. 🌿📸… https://t.co/2gq0t9FnIR,48
